name	latitude	longitude
Aghareagh East	54.09832	-7.16211
Aghareagh West	54.11023	-7.23121
Agharevagh East	53.37777	-7.75393
Agharevagh West	53.38147	-7.83627
Aghareville Lower	53.76094	-9.00972
Aghareville Upper	53.75588	-9.01614
Agharickard	53.71988	-7.72648
Agharinagh	51.91768	-8.73661
Agharoosky	54.42803	-8.28837
Agharra	53.59471	-7.62857
Agharroo	54.45308	-8.33118
Agharrow	54.38891	-8.57436
Agharue	52.77791	-7.07128
Aghasheil	54.81285	-7.79956
Aghataharn	53.84355	-8.75283
Aghatamy	53.97728	-6.78702
Aghatawny Lower	54.04361	-7.79089
Aghatawny Upper	54.04229	-7.79372
Aghateeduff	54.03363	-7.32516
Aghateemore Glebe	53.99488	-7.22186
Aghateggal	53.93669	-7.30602
Aghaterry	52.86947	-7.06818
Aghateskin	54.03026	-6.69812
Aghathomas	53.57238	-6.85994
Aghatotan	54.04636	-7.15105
Aghatubbrid	55.25245	-7.14740
Aghatubrid	51.88892	-10.20948
Aghatubrid	51.89435	-10.22489
Aghatubrid Beg	51.57216	-9.12689
Aghatubrid More	51.56915	-9.13492
Aghavadden	54.03498	-7.86144
Aghavadden	53.60119	-7.96227
Aghavaddy	53.91602	-7.28636
Aghavadrin	54.00801	-7.55545
Aghavannagh	52.92386	-6.41062
Aghavannagh	52.94121	-6.43678
Aghavannagh Mountain	52.94417	-6.47037
Aghavannan Far	55.10365	-7.54962
Aghavannan Near	55.10175	-7.54207
Aghavanny	54.34979	-8.00944
Aghavas	53.95808	-7.71571
Aghavas	53.95627	-7.71793
Aghaveagh	54.79629	-7.89253
Aghaveans	53.87955	-7.52213
Aghavilla	54.08767	-7.47403
Aghavilla	54.00332	-7.67418
Aghavilla	54.00000	-6.71328
Aghaville	51.65101	-9.36581
Aghaviller	52.46466	-7.27297
Aghavine	51.90563	-7.94547
Aghavoghil	54.40985	-8.22582
Aghavoher	54.08433	-7.56298
Aghavoneen	53.38293	-7.81781
Aghavore	53.97826	-7.60070
Aghavrin	51.93003	-8.82017
Aghawaracahill	53.89591	-8.05290
Aghaward	53.79593	-7.65113
Aghaward	53.93941	-9.08864
Aghaway	54.01774	-7.18349
Aghawee	53.88210	-7.34172
Aghawee	54.81600	-7.54318
Aghaweely Lower	53.89489	-7.40248
Aghaweely Upper	53.90867	-7.41096
Aghaweenagh	54.07666	-7.58725
Aghawerriny	53.69894	-8.08677
Aghawillin	54.07519	-7.72901
Aghawillin	53.95829	-7.64839
Aghawinnaun	53.09417	-9.03431
Aghawonan	53.81274	-7.24705
Aghawoney	55.04335	-7.73090
Aghayeevoge	54.66213	-8.41746
Aghclare	52.55173	-7.00387
Aghcross	52.87318	-7.04683
Aghduff	53.01331	-7.63379
Agheeshal	54.07437	-6.72926
Aghenderry	52.59447	-7.33965
Agher	53.45252	-6.74039
Agheracalkill	54.28467	-7.08339
Agheragh	53.88483	-6.91334
Agherakeltan	54.29150	-7.09444
Agheralane	54.11036	-6.89190
Aghern East	52.09500	-8.15388
Aghern West	52.09339	-8.16361
Aghfarrell	53.23009	-6.41830
Aghfarrell	53.22980	-6.42004
Aghills	51.56194	-9.19424
Aghilly And Lenynarnan	55.13534	-7.43295
Aghinaspick	53.65568	-7.79708
Aghinillard	53.97052	-6.81005
Aghinish	53.65302	-9.28078
Aghinraheen	52.60855	-7.34908
Aghintamy	54.23668	-6.91435
Aghintass	53.89696	-7.95989
Aghinteeduff	53.81838	-7.88386
Aghintemple	53.69970	-7.74152
Aghintober	53.95227	-8.00360
Aghlacon	54.29262	-8.11416
Aghlattacru	53.94488	-6.73040
Aghleam	54.12083	-10.11381
Aghleam	54.11822	-10.10154
Aghlehard	54.92611	-7.66250
Aghlem	54.65511	-8.02980
Aghlin	54.06839	-7.91112
Aghlisk	53.54319	-8.81789
Aghloonagh	53.78249	-8.27497
Aghmacart	52.82301	-7.51347
Aghmagree	53.63151	-8.12278
Aghmakerr	54.06420	-6.83257
Aghmanister And Spital	51.62578	-8.77969
Aghnabohy	53.54893	-7.61049
Aghnacally	54.16704	-7.64537
Aghnacally Glebe	53.71669	-7.71408
Aghnaclea	54.15657	-6.92707
Aghnacliff	53.84387	-7.61162
Aghnacliff	53.84779	-7.60464
Aghnaclue	53.87477	-6.97289
Aghnacollia	54.17174	-7.80150
Aghnacor	53.97335	-7.54402
Aghnacranagh	53.62819	-7.81736
Aghnacreevy	54.03949	-7.58126
Aghnacross	52.88845	-7.27009
Aghnacross	53.92434	-7.85826
Aghnacross	53.60326	-7.95395
Aghnacue	54.15353	-7.06928
Aghnadamph	54.15719	-6.66945
Aghnadaragan	54.03779	-7.21870
